测试时间,温度,湿度,VOC,人体
2018/12/18 1:08:00,1499,1799,299,
2018/12/18 1:08:00,1469,1777,277,
2018/12/18 1:09:00,1486,1789,289,
2018/12/18 1:09:00,1512,1809,309,
2018/12/18 1:09:00,1509,1807,307,
2018/12/18 1:09:00,1529,1822,322,
2018/12/18 1:09:00,1471,1778,278,
2018/12/18 1:09:00,1521,1815,315,
2018/12/18 1:09:00,1524,1818,318,
2018/12/18 1:09:00,1517,1813,313,
2018/12/18 1:09:00,1463,1772,272,
2018/12/18 1:09:00,1530,1822,322,
2018/12/18 1:09:00,1519,1814,314,
2018/12/18 1:09:00,1547,1836,336,
2018/12/18 1:09:00,1521,1816,316,
2018/12/18 1:09:00,1494,1795,295,
2018/12/18 1:09:00,1491,1794,294,
2018/12/18 1:09:00,1493,1794,294,
2018/12/18 1:09:00,1488,1791,291,
2018/12/18 1:09:00,1476,1782,282,
2018/12/18 1:09:00,1491,1794,294,
2018/12/18 1:09:00,1501,1801,301,
2018/12/18 1:09:00,1501,1801,301,
2018/12/18 1:09:00,1491,1793,293,
2018/12/18 1:09:00,1489,1792,292,
2018/12/18 1:09:00,1535,1826,326,
2018/12/18 1:09:00,1513,1810,310,
2018/12/18 1:09:00,1505,1804,304,
2018/12/18 1:09:00,1482,1787,287,
2018/12/18 1:09:00,1518,1814,314,
2018/12/18 1:09:00,1533,1825,325,
2018/12/18 1:09:00,1501,1801,301,
2018/12/18 1:09:00,1495,1796,296,
2018/12/18 1:09:00,1546,1834,334,
2018/12/18 1:09:00,1519,1814,314,
2018/12/18 1:09:00,1520,1815,315,
2018/12/18 1:09:00,1484,1788,288,
2018/12/18 1:09:00,1517,1813,313,
2018/12/18 1:09:00,1504,1803,303,
2018/12/18 1:09:00,1511,1808,308,
2018/12/18 1:09:00,1494,1795,295,
2018/12/18 1:09:00,1490,1793,293,
2018/12/18 1:09:00,1513,1810,310,
2018/12/18 1:09:00,1491,1793,293,
2018/12/18 1:09:00,1519,1815,315,
2018/12/18 1:09:00,1494,1796,296,
2018/12/18 1:09:00,1471,1778,278,
2018/12/18 1:09:00,1503,1802,302,
2018/12/18 1:09:00,1497,1798,298,
2018/12/18 1:09:00,1502,1802,302,
2018/12/18 1:09:00,1518,1813,313,
2018/12/18 1:09:00,1482,1787,287,
2018/12/18 1:09:00,1508,1806,306,
2018/12/18 1:09:00,1470,1778,278,
2018/12/18 1:09:00,1488,1791,291,
2018/12/18 1:09:00,1500,1800,300,
2018/12/18 1:09:00,1532,1824,324,
2018/12/18 1:09:00,1538,1828,328,
2018/12/18 1:09:00,1548,1836,336,
2018/12/18 1:09:00,1470,1778,278,
2018/12/18 1:09:00,1515,1811,311,
2018/12/18 1:09:00,1488,1791,291,
2018/12/18 1:10:00,1457,1768,268,
2018/12/18 1:10:00,1502,1802,302,
2018/12/18 1:10:00,1464,1773,273,
2018/12/18 1:10:00,1490,1793,293,
2018/12/18 1:10:00,1511,1808,308,
2018/12/18 1:10:00,1515,1811,311,
2018/12/18 1:10:00,1497,1798,298,
2018/12/18 1:10:00,1511,1808,308,
2018/12/18 1:10:00,1493,1794,294,
2018/12/18 1:10:00,1494,1795,295,
2018/12/18 1:10:00,1508,1806,306,
2018/12/18 1:10:00,1491,1793,293,
2018/12/18 1:10:00,1535,1826,326,
2018/12/18 1:10:00,1518,1813,313,
2018/12/18 1:10:00,1467,1775,275,
2018/12/18 1:10:00,1477,1782,282,
2018/12/18 1:10:00,1496,1797,297,
2018/12/18 1:10:00,1526,1819,319,
2018/12/18 1:10:00,1456,1767,267,
2018/12/18 1:10:00,1492,1794,294,
2018/12/18 1:10:00,1473,1780,280,
2018/12/18 1:10:00,1506,1804,304,
2018/12/18 1:10:00,1490,1793,293,
2018/12/18 1:10:00,1499,1799,299,
2018/12/18 1:10:00,1534,1825,325,
2018/12/18 1:10:00,1550,1838,338,
2018/12/18 1:10:00,1488,1791,291,
2018/12/18 1:10:00,1495,1796,296,
2018/12/18 1:10:00,1499,1800,300,
2018/12/18 1:10:00,1514,1811,311,
2018/12/18 1:10:00,1512,1809,309,
2018/12/18 1:10:00,1513,1810,310,
2018/12/18 1:10:00,1490,1793,293,
2018/12/18 1:10:00,1512,1809,309,
2018/12/18 1:10:00,1503,1802,302,
2018/12/18 1:10:00,1483,1787,287,
2018/12/18 1:10:00,1533,1825,325,
2018/12/18 1:10:00,1504,1803,303,
2018/12/18 1:10:00,1471,1778,278,
2018/12/18 1:10:00,1488,1791,291,
2018/12/18 1:10:00,1507,1806,306,
2018/12/18 1:10:00,1485,1789,289,
2018/12/18 1:10:00,1531,1823,323,
2018/12/18 1:10:00,1465,1773,273,
2018/12/18 1:10:00,1493,1795,295,
2018/12/18 1:10:00,1510,1808,308,
2018/12/18 1:10:00,1517,1813,313,
2018/12/18 1:10:00,1481,1786,286,
2018/12/18 1:10:00,1484,1788,288,
2018/12/18 1:10:00,1485,1789,289,
2018/12/18 1:10:00,1483,1787,287,
2018/12/18 1:10:00,1514,1811,311,
2018/12/18 1:10:00,1500,1800,300,
2018/12/18 1:10:00,1500,1800,300,
2018/12/18 1:10:00,1530,1822,322,
2018/12/18 1:10:00,1481,1786,286,
2018/12/18 1:10:00,1522,1817,317,
2018/12/18 1:10:00,1489,1792,292,
2018/12/18 1:10:00,1524,1818,318,
2018/12/18 1:10:00,1496,1797,297,
2018/12/18 1:11:00,1492,1794,294,
2018/12/18 1:11:00,1470,1778,278,
2018/12/18 1:11:00,1489,1791,291,
2018/12/18 1:11:00,1508,1806,306,
2018/12/18 1:11:00,1496,1797,297,
2018/12/18 1:11:00,1492,1794,294,
2018/12/18 1:11:00,1522,1816,316,
2018/12/18 1:11:00,1519,1814,314,
2018/12/18 1:11:00,1475,1781,281,
2018/12/18 1:11:00,1527,1820,320,
2018/12/18 1:11:00,1517,1813,313,
2018/12/18 1:11:00,1531,1823,323,
2018/12/18 1:11:00,1489,1792,292,
2018/12/18 1:11:00,1529,1822,322,
2018/12/18 1:11:00,1493,1794,294,
2018/12/18 1:11:00,1490,1793,293,
2018/12/18 1:11:00,1509,1807,307,
2018/12/18 1:11:00,1477,1783,283,
2018/12/18 1:11:00,1501,1801,301,
2018/12/18 1:11:00,1485,1788,288,
2018/12/18 1:11:00,1526,1819,319,
2018/12/18 1:11:00,1486,1789,289,
2018/12/18 1:11:00,1497,1798,298,
2018/12/18 1:11:00,1526,1820,320,
2018/12/18 1:11:00,1521,1815,315,
2018/12/18 1:11:00,1514,1810,310,
2018/12/18 1:11:00,1491,1793,293,
2018/12/18 1:11:00,1507,1805,305,
2018/12/18 1:11:00,1491,1793,293,
2018/12/18 1:11:00,1504,1803,303,
2018/12/18 1:11:00,1528,1821,321,
2018/12/18 1:11:00,1496,1797,297,
2018/12/18 1:11:00,1490,1792,292,
2018/12/18 1:11:00,1477,1783,283,
2018/12/18 1:11:00,1511,1809,309,
