,温度,湿度,VOC,,,,,,,,
2019/12/18 7:04:10,1503,1803,0036,0001,0000,0000,,,0000,,
2019/12/18 7:04:11,1489,1792,0029,0001,0000,0000,,,0000,,
2019/12/18 7:04:12,1522,1816,0032,0001,0000,0000,,,0000,,
2019/12/18 7:04:13,1508,1806,0030,0001,0000,0000,,,0000,,
2019/12/18 7:04:14,1509,1807,0028,0001,0000,0000,,,0000,,
2019/12/18 7:04:15,1491,1794,0035,0001,0000,0000,,,0000,,
2019/12/18 7:04:16,1489,1792,0026,0001,0000,0000,,,0000,,
2019/12/18 7:04:17,1495,1796,0034,0001,0000,0000,,,0000,,
2019/12/18 7:04:18,1500,1800,0031,0001,0000,0000,,,0000,,
2019/12/18 7:04:19,1469,1777,0028,0001,0000,0000,,,0000,,
2019/12/18 7:04:20,1486,1789,0033,0001,0000,0000,,,0000,,
2019/12/18 7:04:21,1477,1783,0027,0001,0000,0000,,,0000,,
2019/12/18 7:04:22,1497,1798,0032,0001,0000,0000,,,0000,,
2019/12/18 7:04:23,1497,1798,0030,0001,0000,0000,,,0000,,
2019/12/18 7:04:24,1484,1788,0027,0001,0000,0000,,,0000,,
2019/12/18 7:04:25,1470,1778,0029,0001,0000,0000,,,0000,,
2019/12/18 7:04:26,1506,1804,0030,0001,0000,0000,,,0000,,
2019/12/18 7:04:27,1460,1770,0034,0001,0000,0000,,,0000,,
2019/12/18 7:04:28,1507,1805,0036,0001,0000,0000,,,0000,,
2019/12/18 7:04:29,1469,1777,0027,0001,0000,0000,,,0000,,
2019/12/18 7:04:30,1526,1820,0032,0001,0000,0000,,,0000,,
2019/12/18 7:04:31,1498,1798,0032,0001,0000,0000,,,0000,,
2019/12/18 7:04:32,1516,1812,0031,0001,0000,0000,,,0000,,
2019/12/18 7:04:33,1491,1794,0024,0001,0000,0000,,,0000,,
2019/12/18 7:04:34,1491,1793,0031,0001,0000,0000,,,0000,,
2019/12/18 7:04:35,1467,1775,0031,0001,0000,0000,,,0000,,
2019/12/18 7:04:36,1528,1821,0032,0001,0000,0000,,,0000,,
2019/12/18 7:04:37,1516,1812,0031,0001,0000,0000,,,0000,,
2019/12/18 7:04:38,1461,1771,0034,0001,0000,0000,,,0000,,
2019/12/18 7:04:39,1481,1786,0031,0001,0000,0000,,,0000,,
2019/12/18 7:04:40,1487,1790,0035,0001,0000,0000,,,0000,,
2019/12/18 7:04:41,1483,1787,0034,0001,0000,0000,,,0000,,
2019/12/18 7:04:42,1472,1779,0030,0001,0000,0000,,,0000,,
2019/12/18 7:04:43,1501,1800,0025,0001,0000,0000,,,0000,,
2019/12/18 7:04:44,1481,1786,0026,0001,0000,0000,,,0000,,
2019/12/18 7:04:45,1497,1798,0030,0001,0000,0000,,,0000,,
2019/12/18 7:04:46,1488,1791,0029,0001,0000,0000,,,0000,,
2019/12/18 7:04:47,1502,1802,0028,0001,0000,0000,,,0000,,
2019/12/18 7:04:48,1522,1817,0031,0001,0000,0000,,,0000,,
2019/12/18 7:04:49,1531,1823,0033,0001,0000,0000,,,0000,,
2019/12/18 7:04:50,1517,1812,0029,0001,0000,0000,,,0000,,
2019/12/18 7:04:51,1497,1798,0033,0001,0000,0000,,,0000,,
2019/12/18 7:04:52,1496,1797,0029,0001,0000,0000,,,0000,,
2019/12/18 7:04:53,1524,1818,0031,0001,0000,0000,,,0000,,
2019/12/18 7:04:54,1487,1790,0030,0001,0000,0000,,,0000,,
2019/12/18 7:04:55,1522,1816,0026,0001,0000,0000,,,0000,,
2019/12/18 7:04:56,1499,1799,0030,0001,0000,0000,,,0000,,
2019/12/18 7:04:57,1524,1818,0033,0001,0000,0000,,,0000,,
2019/12/18 7:04:58,1510,1807,0029,0001,0000,0000,,,0000,,
2019/12/18 7:04:59,1517,1813,0032,0001,0000,0000,,,0000,,
2019/12/18 7:05:00,1492,1794,0028,0001,0000,0000,,,0000,,
2019/12/18 7:05:01,1490,1793,0026,0001,0000,0000,,,0000,,
2019/12/18 7:05:02,1452,1764,0027,0001,0000,0000,,,0000,,
2019/12/18 7:05:03,1533,1825,0028,0001,0000,0000,,,0000,,
2019/12/18 7:05:04,1521,1816,0028,0001,0000,0000,,,0000,,
2019/12/18 7:05:05,1477,1783,0026,0001,0000,0000,,,0000,,
2019/12/18 7:05:06,1479,1784,0032,0001,0000,0000,,,0000,,
2019/12/18 7:05:07,1490,1792,0025,0001,0000,0000,,,0000,,
2019/12/18 7:05:08,1492,1794,0028,0001,0000,0000,,,0000,,
2019/12/18 7:05:09,1518,1814,0029,0001,0000,0000,,,0000,,
2019/12/18 7:05:10,1484,1788,0031,0001,0000,0000,,,0000,,
2019/12/18 7:05:11,1556,1842,0026,0001,0000,0000,,,0000,,
2019/12/18 7:05:12,1508,1806,0030,0001,0000,0000,,,0000,,
2019/12/18 7:05:13,1465,1774,0025,0001,0000,0000,,,0000,,
2019/12/18 7:05:14,1510,1807,0030,0001,0000,0000,,,0000,,
2019/12/18 7:05:15,1516,1812,0035,0001,0000,0000,,,0000,,
2019/12/18 7:05:16,1502,1801,0026,0001,0000,0000,,,0000,,
2019/12/18 7:05:17,1495,1797,0028,0001,0000,0000,,,0000,,
2019/12/18 7:05:18,1527,1820,0027,0001,0000,0000,,,0000,,
2019/12/18 7:05:19,1491,1793,0029,0001,0000,0000,,,0000,,
2019/12/18 7:05:20,1481,1786,0036,0001,0000,0000,,,0000,,
2019/12/18 7:05:21,1446,1760,0033,0001,0000,0000,,,0000,,
2019/12/18 7:05:22,1516,1812,0032,0001,0000,0000,,,0000,,
2019/12/18 7:05:23,1520,1815,0027,0001,0000,0000,,,0000,,
2019/12/18 7:05:24,1470,1778,0032,0001,0000,0000,,,0000,,
2019/12/18 7:05:25,1523,1817,0028,0001,0000,0000,,,0000,,
2019/12/18 7:05:26,1475,1781,0031,0001,0000,0000,,,0000,,
2019/12/18 7:05:27,1483,1788,0032,0001,0000,0000,,,0000,,
2019/12/18 7:05:28,1479,1784,0026,0001,0000,0000,,,0000,,
2019/12/18 7:05:29,1530,1822,0030,0001,0000,0000,,,0000,,
2019/12/18 7:05:30,1490,1792,0027,0001,0000,0000,,,0000,,
2019/12/18 7:05:31,1532,1824,0027,0001,0000,0000,,,0000,,
2019/12/18 7:05:32,1500,1800,0029,0001,0000,0000,,,0000,,
2019/12/18 7:05:33,1491,1793,0034,0001,0000,0000,,,0000,,
2019/12/18 7:05:34,1463,1772,0031,0001,0000,0000,,,0000,,
2019/12/18 7:05:35,1490,1792,0033,0001,0000,0000,,,0000,,
2019/12/18 7:05:36,1519,1814,0030,0001,0000,0000,,,0000,,
2019/12/18 7:05:37,1512,1809,0031,0001,0000,0000,,,0000,,
2019/12/18 7:05:38,1474,1781,0032,0001,0000,0000,,,0000,,
2019/12/18 7:05:39,1488,1791,0035,0001,0000,0000,,,0000,,
2019/12/18 7:05:40,1476,1782,0027,0001,0000,0000,,,0000,,
2019/12/18 7:05:41,1481,1786,0026,0001,0000,0000,,,0000,,
2019/12/18 7:05:42,1509,1807,0034,0001,0000,0000,,,0000,,
2019/12/18 7:05:43,1498,1799,0035,0001,0000,0000,,,0000,,
2019/12/18 7:05:44,1520,1815,0025,0001,0000,0000,,,0000,,
2019/12/18 7:05:45,1502,1802,0026,0001,0000,0000,,,0000,,
2019/12/18 7:05:46,1500,1800,0031,0001,0000,0000,,,0000,,
2019/12/18 7:05:47,1476,1782,0032,0001,0000,0000,,,0000,,
2019/12/18 7:05:48,1468,1776,0026,0001,0000,0000,,,0000,,
2019/12/18 7:05:49,1489,1791,0034,0001,0000,0000,,,0000,,
2019/12/18 7:05:50,1516,1812,0024,0001,0000,0000,,,0000,,
2019/12/18 7:05:51,1513,1810,0028,0001,0000,0000,,,0000,,
2019/12/18 7:05:52,1527,1820,0025,0001,0000,0000,,,0000,,
2019/12/18 7:05:53,1492,1794,0032,0001,0000,0000,,,0000,,
2019/12/18 7:05:54,1517,1813,0033,0001,0000,0000,,,0000,,
2019/12/18 7:05:55,1527,1821,0031,0001,0000,0000,,,0000,,
2019/12/18 7:05:56,1515,1811,0029,0001,0000,0000,,,0000,,
2019/12/18 7:05:57,1511,1808,0030,0001,0000,0000,,,0000,,
2019/12/18 7:05:58,1484,1788,0030,0001,0000,0000,,,0000,,
2019/12/18 7:05:59,1514,1811,0025,0001,0000,0000,,,0000,,
2019/12/18 7:06:00,1497,1797,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:01,1500,1800,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:02,1538,1828,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:03,1520,1815,0029,0001,0000,0000,,,0000,,
2019/12/18 7:06:04,1497,1797,0027,0001,0000,0000,,,0000,,
2019/12/18 7:06:05,1517,1813,0029,0001,0000,0000,,,0000,,
2019/12/18 7:06:06,1494,1795,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:07,1515,1811,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:08,1500,1800,0029,0001,0000,0000,,,0000,,
2019/12/18 7:06:09,1497,1797,0036,0001,0000,0000,,,0000,,
2019/12/18 7:06:10,1516,1812,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:11,1487,1790,0033,0001,0000,0000,,,0000,,
2019/12/18 7:06:12,1493,1795,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:13,1508,1806,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:14,1518,1813,0037,0001,0000,0000,,,0000,,
2019/12/18 7:06:15,1532,1824,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:16,1489,1792,0031,0001,0000,0000,,,0000,,
2019/12/18 7:06:17,1507,1805,0025,0001,0000,0000,,,0000,,
2019/12/18 7:06:18,1483,1787,0031,0001,0000,0000,,,0000,,
2019/12/18 7:06:19,1494,1795,0022,0001,0000,0000,,,0000,,
2019/12/18 7:06:20,1509,1807,0029,0001,0000,0000,,,0000,,
2019/12/18 7:06:21,1502,1802,0031,0001,0000,0000,,,0000,,
2019/12/18 7:06:22,1504,1803,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:23,1497,1797,0027,0001,0000,0000,,,0000,,
2019/12/18 7:06:24,1512,1809,0033,0001,0000,0000,,,0000,,
2019/12/18 7:06:25,1491,1793,0029,0001,0000,0000,,,0000,,
2019/12/18 7:06:26,1524,1818,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:27,1532,1824,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:28,1483,1787,0032,0001,0000,0000,,,0000,,
2019/12/18 7:06:29,1534,1825,0032,0001,0000,0000,,,0000,,
2019/12/18 7:06:30,1486,1790,0035,0001,0000,0000,,,0000,,
2019/12/18 7:06:31,1504,1803,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:32,1526,1820,0033,0001,0000,0000,,,0000,,
2019/12/18 7:06:33,1510,1807,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:34,1489,1792,0031,0001,0000,0000,,,0000,,
2019/12/18 7:06:35,1507,1806,0033,0001,0000,0000,,,0000,,
2019/12/18 7:06:36,1495,1796,0029,0001,0000,0000,,,0000,,
2019/12/18 7:06:37,1514,1810,0029,0001,0000,0000,,,0000,,
2019/12/18 7:06:38,1537,1828,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:39,1499,1800,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:40,1501,1801,0032,0001,0000,0000,,,0000,,
2019/12/18 7:06:41,1485,1789,0027,0001,0000,0000,,,0000,,
2019/12/18 7:06:42,1516,1812,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:43,1505,1804,0033,0001,0000,0000,,,0000,,
2019/12/18 7:06:44,1530,1823,0031,0001,0000,0000,,,0000,,
2019/12/18 7:06:45,1505,1804,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:46,1506,1804,0029,0001,0000,0000,,,0000,,
2019/12/18 7:06:47,1492,1794,0033,0001,0000,0000,,,0000,,
2019/12/18 7:06:48,1470,1777,0033,0001,0000,0000,,,0000,,
2019/12/18 7:06:49,1466,1775,0032,0001,0000,0000,,,0000,,
2019/12/18 7:06:50,1508,1806,0027,0001,0000,0000,,,0000,,
2019/12/18 7:06:51,1493,1795,0026,0001,0000,0000,,,0000,,
2019/12/18 7:06:52,1517,1813,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:53,1483,1787,0028,0001,0000,0000,,,0000,,
2019/12/18 7:06:54,1470,1777,0037,0001,0000,0000,,,0000,,
2019/12/18 7:06:55,1511,1808,0027,0001,0000,0000,,,0000,,
2019/12/18 7:06:56,1479,1784,0035,0001,0000,0000,,,0000,,
2019/12/18 7:06:57,1506,1805,0032,0001,0000,0000,,,0000,,
2019/12/18 7:06:58,1506,1804,0030,0001,0000,0000,,,0000,,
2019/12/18 7:06:59,1481,1786,0030,0001,0000,0000,,,0000,,
2019/12/18 7:07:00,1515,1811,0031,0001,0000,0000,,,0000,,
2019/12/18 7:07:01,1466,1775,0033,0001,0000,0000,,,0000,,
2019/12/18 7:07:02,1505,1804,0030,0001,0000,0000,,,0000,,
2019/12/18 7:07:03,1494,1795,0026,0001,0000,0000,,,0000,,
2019/12/18 7:07:04,1482,1786,0032,0001,0000,0000,,,0000,,
2019/12/18 7:07:05,1503,1803,0030,0001,0000,0000,,,0000,,
2019/12/18 7:07:06,1521,1816,0032,0001,0000,0000,,,0000,,
2019/12/18 7:07:07,1508,1806,0028,0001,0000,0000,,,0000,,
2019/12/18 7:07:08,1533,1824,0025,0001,0000,0000,,,0000,,
2019/12/18 7:07:09,1516,1812,0029,0001,0000,0000,,,0000,,
2019/12/18 7:07:10,1493,1794,0032,0001,0000,0000,,,0000,,
2019/12/18 7:07:11,1486,1790,0026,0001,0000,0000,,,0000,,
2019/12/18 7:07:12,1516,1812,0020,0001,0000,0000,,,0000,,
2019/12/18 7:07:13,1512,1809,0033,0001,0000,0000,,,0000,,
2019/12/18 7:07:14,1480,1785,0036,0001,0000,0000,,,0000,,
2019/12/18 7:07:15,1533,1825,0028,0001,0000,0000,,,0000,,
2019/12/18 7:07:16,1478,1784,0028,0001,0000,0000,,,0000,,
2019/12/18 7:07:17,1463,1772,0032,0001,0000,0000,,,0000,,
2019/12/18 7:07:18,1490,1793,0031,0001,0000,0000,,,0000,,
2019/12/18 7:07:19,1473,1780,0028,0001,0000,0000,,,0000,,
2019/12/18 7:07:20,1496,1797,0032,0001,0000,0000,,,0000,,
2019/12/18 7:07:21,1488,1791,0029,0001,0000,0000,,,0000,,
2019/12/18 7:07:22,1493,1795,0033,0001,0000,0000,,,0000,,
2019/12/18 7:07:23,1477,1783,0029,0001,0000,0000,,,0000,,
2019/12/18 7:07:24,1490,1792,0033,0001,0000,0000,,,0000,,
2019/12/18 7:07:25,1472,1779,0025,0001,0000,0000,,,0000,,
2019/12/18 7:07:26,1459,1769,0030,0001,0000,0000,,,0000,,
2019/12/18 7:07:27,1514,1811,0027,0001,0000,0000,,,0000,,
2019/12/18 7:07:28,1492,1794,0029,0001,0000,0000,,,0000,,
2019/12/18 7:07:29,1503,1802,0034,0001,0000,0000,,,0000,,
2019/12/18 7:07:30,1521,1815,0031,0001,0000,0000,,,0000,,
2019/12/18 7:07:31,1547,1835,0030,0001,0000,0000,,,0000,,
2019/12/18 7:07:32,1520,1815,0021,0001,0000,0000,,,0000,,
2019/12/18 7:07:33,1505,1804,0025,0001,0000,0000,,,0000,,
2019/12/18 7:07:34,1485,1789,0027,0001,0000,0000,,,0000,,
